IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
19-0001,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0002,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0003,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0004,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0005,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0006,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0007,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0008,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0009,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0010,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0011,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0012,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0013,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0014,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0015,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0016,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0017,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0018,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0019,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0020,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0021,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,,50-100,x,,dood,,,
19-0022,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,,50-100,x,,,,,
19-0041,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0042,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0043,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0044,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0045,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0046,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0047,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0048,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0049,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0050,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0051,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0052,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0053,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,2021-04-10,,50-100,C7,,Anne Oosterbaan – proefveld,,,
19-0054,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,2021-04-10,,50-100,C7,,Anne Oosterbaan – proefveld,,,
19-0055,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0056,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,2021-04-10,0,50-100,C7,,Anne Oosterbaan – proefveld,,,
19-0057,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0058,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,10,50-100,C3,,,,,
19-0059,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,10,50-100,C3,,,,,
19-0060,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,2021-02-01,,50-100,C7,,Cadeau aan Mark Vonk,,,
19-0061,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0062,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,10,50-100,C3,,,,,
19-0063,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,10,50-100,C3,,,,,
19-0064,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
19-0065,Castanea,mollissima,,Chinese tamme kastanje,Chinese sweet chestnut,Route9,,,2019-11-01,,,,15,50-100,C7,,,,,
